"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"南青山ＰＩＣＳ鍼灸院","東京都港区南青山三丁目8番7号","クレアトゥール南青山301","03-6721-0608","2022/6/1","はり、きゅう","35.667176","139.715851"
"とまり木鍼灸院","東京都港区南青山三丁目12番11号","ボワゼ青山3階","03-5785-0599","2018/7/1","あん摩、はり、きゅう","35.666099","139.713702"
"ＡＣＡＤＥＭＩＡ鍼灸院","東京都港区南青山三丁目12番12号","南青山312ビル601","03-6721-1897","2013/7/10","はり、きゅう","35.666126","139.713823"
"ＲｅＣｕＡ　Ｅｓｐａｃｅ　ｄｅ　Ｂｅａｕｔｅ","東京都港区南青山三丁目12番12号","南青山312ビル802号",,"2021/9/16","あん摩、はり、きゅう","35.666126","139.713823"
"ナチュラルキュア表参道鍼灸院","東京都港区南青山三丁目14番3号","2階","03-5775-2723","2011/1/5","あん摩、はり、きゅう","35.665707","139.714655"
"Ｑｉｎｏｗａ　キノワ","東京都港区南青山三丁目14番8号","1F","03-5771-1277","2007/8/17","あん摩、はり、きゅう","35.665494","139.715302"
"表参道ｙａｍａｍｏｔｏ鍼灸院","東京都港区南青山三丁目14番24号","ピロティ青山303",,"2021/3/19","はり、きゅう","35.665221","139.714733"
"セラ治療院","東京都港区南青山三丁目14番26号","CASA CERENA 3階","03-6721-1710","2014/1/28","あん摩、はり","35.667533","139.713344"
"こきゅう南青山鍼灸院","東京都港区南青山三丁目16番14号","プラサーダ青山401","03-6447-1080","2022/6/15","あん摩、はり、きゅう","35.664402","139.714659"
"こきゅう南青山プレミアム鍼灸院","東京都港区南青山三丁目16番14号","プラサーダ青山402","03-6447-1080","2022/6/15","あん摩、はり、きゅう","35.664402","139.714659"
"はりきゅうマッサージ　グローバル治療院表参道","東京都港区南青山三丁目18番20号","ワークス南青山","03-5775-2503","2020/4/30","あん摩、はり、きゅう","35.665298","139.713028"
"ＢＨＹ鍼灸生花","東京都港区南青山三丁目18番20号","南青山松本ビル7階","03-6447-0585","2010/4/28","はり、きゅう","35.665409","139.713058"
"李哲鍼灸院","東京都港区南青山四丁目1番5号","セントラル第1青山ビル205号室","03-6434-9915","2016/4/22","はり、きゅう","35.667449","139.718763"
"スポーツマッサージブルートリート　平林鍼灸院","東京都港区南青山四丁目1番5号","セントラル第一青山105","03-3408-4155","2014/6/12","あん摩、はり、きゅう","35.667449","139.718763"
"鍼灸治療室ヨハネ","東京都港区南青山四丁目7番17号","グリーンヒル101","03-3403-0792","2010/12/20","あん摩、はり、きゅう","35.666324","139.719053"
"カーラ鍼灸院","東京都港区南青山四丁目9番11号","SEBON南青山102","03-6804-3336","2020/10/31","はり、きゅう","35.667125","139.718405"
"総合治療院テコセンター","東京都港区南青山四丁目9番22号","アウラビル地下1階","03-6804-6466","2017/9/1","あん摩、はり、きゅう","35.666714","139.717432"
"サンサーラ鍼灸治療室","東京都港区南青山四丁目9番27号","ビューネ南青山ヒルズ306","03-3401-0933","2010/3/1","あん摩、はり、きゅう","35.667115","139.718066"
"鍼灸Ｍｅａｄｏｗ","東京都港区南青山四丁目25番1号","2階","050-3559-1588","2022/10/4","あん摩、はり、きゅう","35.663234","139.718342"
"榊指圧治療院","東京都港区南青山五丁目4番5号","211","03-5466-0673","2015/1/19","あん摩","35.662943","139.71458"
"青山マッサージサロン","東京都港区南青山五丁目4番6号","パレロワイヤル南青山104号室",,"2019/7/29","あん摩","35.662766","139.714837"
"三宅指圧治療院","東京都港区南青山五丁目4番44号","ラポール南青山54 108号","03-3499-5909","2020/12/1","あん摩","35.662552","139.71368"
"彩良指圧マッサージ","東京都港区南青山五丁目4番44号","ラポール南青山303","03-6427-4826","2013/6/21","あん摩","35.662552","139.71368"
"十全治療院","東京都港区南青山五丁目6番3号","メゾンブランシュ2-3C","03-3406-0598","1994/3/14","あん摩","35.663795","139.712128"
"Ｌｉｌｔｉｎｇ　Ｂｏｄｙ治療院（リルティングボディ）","東京都港区南青山五丁目6番4号","ハイトリオ南青山204号室","03-3797-1155","2014/2/1","あん摩、はり、きゅう","35.663700","139.712240"
"さやか鍼灸院","東京都港区南青山五丁目6番9号","サウス青山マンション402",,"2019/12/20","はり、きゅう","35.663471","139.712339"
"ポポ東洋医学鍼灸治療院","東京都港区南青山五丁目7番17号","小原流会館地下1階","03-5962-7718","2022/12/12","はり、きゅう","35.662333","139.712707"
"東洋医学鍼灸久志田治療所","東京都港区南青山五丁目10番5号","九曜ビル青山ハイツ703号","03-3797-7522","2021/10/1","はり、きゅう","35.662487","139.711362"
"たけした鍼灸院青山","東京都港区南青山五丁目12番10号","エラン南青山202","03-6805-1423","2011/4/15","あん摩、はり、きゅう","35.661441","139.712627"
"サカキコンサルテーションアンドザアーツ","東京都港区南青山五丁目12番24号","シャトー東洋南青山509","03-3498-7708","2001/4/2","あん摩","35.661234","139.712439"
"Ｃ　ｂｙ　ＣＡＬＩＳＴＡ鍼灸サロン","東京都港区南青山五丁目16番3号","メゾン青南401","03-6427-4366","2015/1/27","あん摩、はり、きゅう","35.661025","139.714374"
"南青山指圧","東京都港区南青山五丁目17番2号","シドニービル1002","03-3400-7785","1984/11/6","あん摩","35.660894","139.714597"
"佐々木マッサージ鍼灸院セントラル南青山店","東京都港区南青山六丁目1番3号","B1","03-5468-1191","2019/11/6","あん摩、はり、きゅう","35.662549","139.716429"
"戸田鍼灸院","東京都港区南青山六丁目2番6号","ハイム青山402","03-3406-1537","2005/1/4","はり、きゅう","35.660994","139.715735"
"日本鍼灸院","東京都港区南青山六丁目2番10号","バックボーンハウス6階",,"2018/7/3","はり、きゅう","35.660934","139.715496"
"１９Ｆａｃｔｏｒｙ","東京都港区南青山六丁目8番3号","701","03-6874-3444","2017/6/27","あん摩、はり、きゅう","35.660058","139.716803"
"クインベル表参道","東京都港区南青山六丁目8番6号","603","03-6427-6007","2022/9/10","きゅう、はり、あん摩","35.659946","139.716689"
"心愛治療院","東京都港区南青山六丁目12番4号","三越南青山ハウス502号","03-3493-2517","2013/7/18","あん摩、はり、きゅう","35.660682","139.715227"
"表参道鍼灸マッサージ治療院　自然なからだ","東京都港区南青山六丁目12番11号","YUKEN南青山302","03-6419-7213","2017/11/7","あん摩、はり、きゅう","35.660373","139.715252"
"アキュハーブ　ａｃｕｈｅｒｂ鍼灸治療室","東京都港区南青山六丁目12番11号","YUKEN南青山402","03-6427-3202","2010/7/30","あん摩、はり、きゅう","35.660373","139.715252"
"鍼　立花　元","東京都港区南青山六丁目15番13号","南青山レジデンス602号",,"2020/5/1","はり、きゅう","35.659450","139.713935"
"紺野トレーナーズオフィス","東京都港区南青山七丁目10番14号","アファン南青山401",,"2021/8/23","あん摩、はり、きゅう","35.658925","139.718524"
"朝日針灸マッサージ治療院","東京都港区南麻布一丁目7番24号","朝日南麻布マンション804","03-3452-3766","2004/1/5","あん摩、はり、きゅう","35.650386","139.737326"
"鍼灸整体治療院薫風","東京都港区南麻布一丁目7番24号","1002","03-5476-0246","2004/5/22","あん摩、はり、きゅう","35.650386","139.737326"
"Ｆｌｏｗ　鍼灸院","東京都港区南麻布一丁目7番28号","ヴァレンティア麻布1階","03-6453-6376","2017/2/20","はり、きゅう","35.650768","139.737110"
"鍼灸サロン　ＣＯＣＯＣＨＩ","東京都港区南麻布二丁目2番28号","ベルメゾン南麻布グランド604","03-3451-7767","2021/6/15","はり、きゅう","35.649819","139.734667"
"川島鍼灸治療院","東京都港区南麻布二丁目3番11号","1117",,"2014/11/10","あん摩、はり、きゅう","35.649483","139.736094"
"ＬＯＯＰＬＥ（ループル）鍼灸マッサージ院南麻布","東京都港区南麻布二丁目5番21号","イデア南麻布1階","03-6435-0625","2021/6/1","あん摩、はり、きゅう","35.650020","139.737024"
"鍼灸サロン　ル　レーヴ","東京都港区南麻布二丁目7番30号","リバーサイド304",,"2019/6/20","はり、きゅう","35.648151","139.736941"
"鍼灸院ＭＡＲ","東京都港区南麻布二丁目8番5号","207","03-6809-5644","2020/8/4","あん摩、はり、きゅう","35.648657","139.735607"
"田島千枝子治療室","東京都港区南麻布三丁目3番13号",,"03-5418-5044","2003/10/6","あん摩","35.650389","139.731580"
"飯野鍼療所","東京都港区南麻布三丁目3番28号","1階","03-6409-6357","2014/2/1","はり、きゅう","35.650175","139.731470"
"麻布　ＭＵＳＵＶＩＮＯ鍼灸院","東京都港区南麻布三丁目4番5号","エスセナーリオ南麻布104","03-6450-4915","2021/9/19","あん摩、はり、きゅう","35.649887","139.734846"
"麻布鍼灸治療院","東京都港区南麻布四丁目5番45号","ウォレントコート101",,"2009/3/10","あん摩、はり、きゅう","35.648714","139.724752"
"麻布鍼灸院","東京都港区南麻布四丁目5番45号","ウォレントコート201",,"2020/7/7","あん摩、はり、きゅう","35.648714","139.724752"
"鍼灸院Ｐｏｎ（ポン）","東京都港区南麻布四丁目7番12号","KMハウス1A",,"2014/7/3","はり、きゅう","35.649745","139.728181"
"天現寺鍼灸ＢｏｄｙＣａｒｅ","東京都港区南麻布四丁目12番2号","ピュアーレ広尾201","03-5475-6768","2013/6/14","あん摩、はり","35.647383","139.723991"
"鍼灸マッサージサロン広尾","東京都港区南麻布四丁目14番4号","第2幸ビル2階","03-3445-5360","2019/6/3","あん摩、はり、きゅう","35.646464","139.725148"
"ルートヴィガー鍼灸マッサージ治療所","東京都港区南麻布五丁目1番36号","新陽ビル1階～7階","03-5789-2066","2014/5/1","あん摩、はり、きゅう","35.652767","139.721933"
"株式会社いい生活　マッサージルーム","東京都港区南麻布五丁目2番32号","興和広尾ビル3階","03-5423-7822","2018/12/27","あん摩、はり","35.654676","139.723173"
"（株）インティグレティドゥメディカル研究所","東京都港区南麻布五丁目2番35号","6階","03-5792-5711","2005/4/14","はり、きゅう","35.655053","139.723352"
"ｍｉｄｏｒｉ鍼灸院","東京都港区南麻布五丁目5番7号","有栖川ヒルトップ6階","080-2175-1565","2017/1/24","はり、きゅう","35.653975","139.725954"
"鍼灸活法石井治療院","東京都港区南麻布五丁目10番24号","第二佐野ビル601",,"2021/10/11","はり、きゅう","35.652589","139.722395"
"ｓｕｐｅｒｂ有栖川","東京都港区南麻布五丁目12番16号","アリスガワハウス102","03-6277-4364","2023/3/7","はり、きゅう","35.652658","139.723552"
"はりきゅう坐忘　広尾","東京都港区南麻布五丁目15番16号","ナガツビル5階","03-6277-3397","2019/10/15","はり、きゅう","35.650912","139.722484"
"鍼灸サロンＡＱＵＭＩＮＡ","東京都港区南麻布五丁目16番8号","エルスール広尾2階","03-4405-3478","2018/5/24","あん摩、はり、きゅう","35.651144","139.723352"
"日本オラクル株式会社マッサージルーム","東京都港区元赤坂一丁目3番13号","赤坂センタービル13階","03-6834-6666","2013/8/1","あん摩","35.676928","139.733669"
"赤坂スポーツマッサージルーム","東京都港区元赤坂一丁目5番20号","ロイヤル赤坂サルーン501号","03-5772-2023","2012/3/1","あん摩、はり、きゅう","35.677533","139.732452"
"広済鍼灸院","東京都港区元麻布二丁目1番21号","YSビル301号","03-3445-0887","2006/8/29","はり、きゅう","35.655379","139.726555"
"はりきゅうあん摩マッサージ指圧禅治療院","東京都港区元麻布三丁目1番26号","イワエフラット201","03-3401-7611","1996/11/12","あん摩、はり、きゅう","35.657367","139.72847"
"６５℃","東京都港区元麻布三丁目12番4号","SP元麻布B1","03-6455-4768","2022/6/18","はり、きゅう","35.656086","139.732493"
"横田鍼灸院","東京都港区元麻布三丁目12番44号","コンド十番301号","03-3479-0209","2007/8/1","はり、きゅう","35.656275","139.731612"
"アークヒルズスパマッサージ室","東京都港区六本木一丁目3番40号","アークタワーズウエスト","03-3589-3388","2000/8/1","あん摩、はり","35.666146","139.740494"
"アシュリオン内マッサージルーム","東京都港区六本木一丁目4番5号","アークヒルズサウスタワー11階","03-4577-6800","2018/4/2","あん摩","35.665703","139.739381"
"ヘルスケアルーム","東京都港区六本木一丁目6番1号","泉ガーデンタワー8階","03-6229-0052","2019/3/5","あん摩","35.664823","139.739503"
"ＫＰＭＧ－ＩＧＴマッサージルーム","東京都港区六本木一丁目6番1号","泉ガーデンタワー11階","03-6229-8300","2007/3/1","あん摩","35.664823","139.739503"
"弁護士法人ＶＥＲＹＢＥＳＴ","東京都港区六本木一丁目8番7号","MFPR六本木麻布台ビル11階",,"2019/4/12","あん摩","35.663151","139.739736"
"エーワン東京マッサージ施術所","東京都港区六本木一丁目9番10号","ヒルズスパ仙石山","03-5549-7430","2016/6/6","あん摩","35.663830","139.741901"
"ソフトバンクグループ仙石山マッサージルーム","東京都港区六本木一丁目9番10号","アークヒルズ仙石山森タワー37階","03-6889-2700","2014/6/18","あん摩","35.663662","139.741763"
"鍼灸Ｐｒｉｖａｔｅ　Ｓａｌｏｎ　Ｂ－ＨａｒｉＴ","東京都港区六本木二丁目2番7‐901号",,,"2019/6/21","はり、きゅう","35.667398","139.738892"
"小尾鍼灸院","東京都港区六本木二丁目2番18号","加藤ビル201","03-5562-0359","1998/11/11","あん摩、はり、きゅう","35.668769","139.740195"
"株式会社Ｓｐｅｅｅ　マッサージルーム","東京都港区六本木三丁目2番1号","住友不動産六本木グランドタワー35階","03-5114-1943","2023/3/22","あん摩","35.664718","139.737760"
"ｄｉｐマッサージルーム","東京都港区六本木三丁目2番1号","六本木グランドタワー31階","03-6628-4062","2017/3/14","あん摩、はり","35.664718","139.737760"
"ＴＥＳＥＲＡ","東京都港区六本木三丁目2番1号","六本木グランドタワー2階","03-5544-8878","2022/6/27","はり、きゅう","35.664718","139.737760"
"さく羅井指圧治療院","東京都港区六本木三丁目4番35号","落合三幸ビル602号","03-3589-1724","2008/7/1","あん摩","35.665076","139.736389"
"ＨＡＵＯＬＡ～パーソナルＭＩＮＤ＆ＢＯＤＹ鍼灸～","東京都港区六本木三丁目6番12号","六本木ヒルズ102",,"2021/8/24","はり、きゅう","35.663206","139.736097"
"つぼりす","東京都港区六本木三丁目11番6号","野沢ビル5階","03-6804-5208","2010/10/18","はり","35.663301","139.732933"
"８８針灸マッサージ院","東京都港区六本木三丁目16番35号","イースト六本木704","03-6434-5885","2019/7/15","あん摩、はり、きゅう","35.662651","139.736705"
"かずのマッサージ針灸治療院","東京都港区六本木三丁目18番12号","ゲッツビル6F","03-5570-9088","2006/9/17","あん摩、はり、きゅう","35.661579","139.737287"
"友愛治療院","東京都港区六本木四丁目1番16号","六本木ハイツ508","03-5913-9597","2008/6/8","あん摩","35.664704","139.734596"
"５０１鍼灸院","東京都港区六本木四丁目1番16号","六本木ハイツ501","03-3584-1051","1990/12/12","はり、きゅう","35.664704","139.734596"
"六本木四丁目鍼灸院","東京都港区六本木四丁目5番7号","Studio-D 202","03-3796-3417","2009/10/20","はり、きゅう","35.664815","139.732930"
"吉倉鍼灸院","東京都港区六本木四丁目6番5号","平野ビル2階","03-3402-8869","1999/10/13","あん摩、はり、きゅう","35.664471","139.732466"
"六本木ミッドタウン前鍼灸院","東京都港区六本木四丁目9番5号","ISO六本木ビル2F","03-6721-0066","2023/3/31","はり、きゅう","35.663614","139.732531"
"ゆるり鍼灸院六本木","東京都港区六本木五丁目1番1号","マイアミビル2階","03-3479-6088","2022/5/10","はり、きゅう","35.662953","139.732491"
"株式会社ゴトウ花店ビル鍼灸院","東京都港区六本木五丁目1番3号","ゴトウビルディング1st1階","090-8712-8888","2021/6/28","あん摩、はり、きゅう","35.662680","139.732751"
"アンバーグレース鍼灸院","東京都港区六本木五丁目11番35号","スタイリストセンタービル2階","03-6804-1768","2012/4/19","はり、きゅう","35.658226","139.732768"
"鍼・灸・マッサージ　慈美","東京都港区六本木五丁目13番12号",,"03-6441-2323","2013/7/7","あん摩、はり、きゅう","35.658572","139.735679"
"東洋英和女学院マッサージルーム","東京都港区六本木五丁目14番40号","本部・大学院棟地下2階","03-3583-3325","2008/4/9","あん摩、はり","35.659145","139.735112"
"諏訪長生館六本木分館","東京都港区六本木五丁目16番5号","インペリアル六本木701号","03-3589-6919","2013/10/16","あん摩","35.661819","139.735056"
"（株）エグボック麻布・六本木オリエンタルセラピー","東京都港区六本木五丁目18番20号","六本木ファイブビル301","03-3586-8909","2000/9/1","あん摩、はり、きゅう","35.660759","139.736902"
"ライフラボ鍼灸院","東京都港区六本木六丁目1番4号","丸正小林ビル2階","03-6459-2622","2008/10/7","はり、きゅう","35.662889","139.73258"
"ＴＯＴＡＬ　ＢＯＤＹ　ＣＡＲＥ","東京都港区六本木六丁目4番1号","六本木ヒルズハリウッドビューティープラザ地下2階","03-5414-1077","2011/11/1","あん摩、はり、きゅう","35.661407","139.730038"
"六本木東洋鍼灸院","東京都港区六本木六丁目7番9号","川本ビル201","03-3423-3047","1987/9/4","はり、きゅう","35.66233","139.732488"
"ノキアシーメンスネットワークス株式会社","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー41階","03-5474-6426","2011/9/26","あん摩","35.660552","139.729276"
"グーグル株式会社　Ｍａｓｓａｇｅ　ｒｏｏｍ１","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー27階","03-6384-9000","2010/11/9","あん摩、はり、きゅう","35.660552","139.729276"
"ゴールドマン・サックス・ジャパン・ホールディングス有限会社シアツセラピールーム","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー47階","03-6437-4230","2014/1/6","あん摩","35.660552","139.729276"
"ハリアップ","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワーウェストウォーク6階","03-3403-0866","2005/11/1","あん摩、はり、きゅう","35.660705","139.729207"
"森ビル社内マッサージ室","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー9階","03-6406-6328","2005/10/24","あん摩","35.660552","139.729276"
"グリー　マッサージルーム","東京都港区六本木六丁目11番16号","中銀六本木マンシオン303","045-227-6275","2022/3/23","あん摩","35.658150","139.732052"
"フランシラ治療院","東京都港区六本木六丁目16番50号","トリプレックス1F","03-5843-0960","2023/3/1","あん摩、はり、きゅう","35.658357","139.728765"
"東洋鍼灸院","東京都港区六本木七丁目3番8号","永谷ヒルプラザ911号","03-3408-0545","2003/8/1","あん摩、はり、きゅう","35.666122","139.727563"
"至坤院・宮内","東京都港区六本木七丁目4番6号","藤和六本木ホームス1101","03-3479-2203","2009/2/3","あん摩、はり、きゅう","35.665354","139.728572"
"指圧療法伝世会","東京都港区六本木七丁目8番25号","永谷リュード六本木907","03-3403-7189","1992/9/25","あん摩、はり、きゅう","35.665386","139.729180"
"中澤鍼灸マッサージ温熱道","東京都港区六本木七丁目12番12号","ふぁみーゆ六本木203号室","03-6878-0349","2022/12/15","あん摩、はり、きゅう","35.664076","139.729728"
"今井鍼灸マッサージ","東京都港区六本木七丁目12番17号",,"03-3401-8494","2000/8/1","あん摩、はり、きゅう","35.663637","139.729348"
"六本木鍼灸指圧　ＫＡＮＯ","東京都港区六本木七丁目12番25号","Green Vessel3階",,"2019/11/30","あん摩、はり、きゅう","35.664266","139.729708"
"ソガ針灸院","東京都港区六本木七丁目13番6号",,"03-3408-2557","1981/8/21","あん摩、はり、きゅう","35.664073","139.730738"
"スポーツマッサージくわばら","東京都港区六本木七丁目15番17号","9階F号室","090-2221-1469","2010/3/18","あん摩、はり、きゅう","35.662292","139.729638"
"蒔田スポーツマッサージ鍼灸治療室","東京都港区六本木七丁目16番8号","マンション渡辺102","03-3408-2638","2003/3/1","あん摩、はり、きゅう","35.663585","139.729887"
"六本木鍼灸マッサージ　寺林治療院","東京都港区六本木七丁目17番16号","米久ビルNo.2 5階","090-1888-5826","2014/5/1","あん摩、はり、きゅう","35.662369","139.729338"
"関口鍼灸治療院　六本木院","東京都港区六本木七丁目17番22号","秀和六本木レジデンス305","03-6804-2533","2017/10/1","はり、きゅう","35.662892","139.728720"
"川井鍼灸院","東京都港区六本木七丁目17番22号",,"03-3405-9277","1999/11/22","はり、きゅう","35.662892","139.728720"
"ひるず鍼灸院","東京都港区六本木七丁目17番22号","秀和六本木レジデンス703","03-6384-5507","2020/5/24","はり、きゅう","35.662892","139.728720"
"結美治療室","東京都港区六本木七丁目18番5号","ソフィア六本木410","03-3401-4166","1996/12/13","あん摩","35.662088","139.728764"
"斉藤治療所","東京都港区六本木七丁目18番5号","ソフィア六本木108","03-3470-1697","1998/2/23","あん摩、はり、きゅう","35.662088","139.728764"
"六本木七丁目鍼灸院","東京都港区六本木七丁目18番5号","ソフィア六本木109号","03-5474-0588","2010/10/28","はり、きゅう","35.662088","139.728764"
"体のサポートつぼ工房","東京都港区六本木七丁目18番5号508",,"03-3475-0575","2022/5/30","はり、きゅう","35.662103","139.728739"
"シーボン六本木鍼灸院","東京都港区六本木七丁目18番12号","シーボンview2階","03-3404-7535","2008/9/2","はり、きゅう","35.662037","139.728965"
"ポリゴンマジック株式会社　社内マッサージルーム","東京都港区六本木七丁目18番18号","住友不動産六本木通ビル2階","03-5771-2771","2014/9/11","あん摩、はり","35.662066","139.728461"
"美智志多長生館","東京都港区六本木七丁目20番8号","ベルメゾン六本木タワーズ302号","03-3403-2630","2016/8/25","あん摩","35.662601","139.727503"

"施術所（あはき）一覧(令和5年3月31日現在)","Ver202303",,,,,,
